"LABEL" "EXPT" "DATA" "RUN" "FOLD" "FOLDRUN" "GROUP" "LANG"
"turk2_cor_dpmog_1_2_1" "dpmog" "turk2_cor" "R1" "F2" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_3_1" "dpmog" "turk2_cor" "R1" "F3" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_4_1" "dpmog" "turk2_cor" "R1" "F4" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_5_1" "dpmog" "turk2_cor" "R1" "F5" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_6_1" "dpmog" "turk2_cor" "R1" "F6" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_7_1" "dpmog" "turk2_cor" "R1" "F7" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_8_1" "dpmog" "turk2_cor" "R1" "F8" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_9_1" "dpmog" "turk2_cor" "R1" "F9" "FR1" "turk2_cor" "turk"
"turk2_cor_dpmog_1_10_1" "dpmog" "turk2_cor" "R1" "F10" "FR1" "turk2_cor" "turk"
"turk2_s1002_cor_dpmog_1_1_1" "dpmog" "turk2_s1002_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_2_1" "dpmog" "turk2_s1002_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_3_1" "dpmog" "turk2_s1002_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_4_1" "dpmog" "turk2_s1002_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_5_1" "dpmog" "turk2_s1002_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_6_1" "dpmog" "turk2_s1002_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_7_1" "dpmog" "turk2_s1002_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_8_1" "dpmog" "turk2_s1002_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_9_1" "dpmog" "turk2_s1002_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1002_cor_dpmog_1_10_1" "dpmog" "turk2_s1002_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_1_1" "dpmog" "turk2_s1022_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_2_1" "dpmog" "turk2_s1022_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_3_1" "dpmog" "turk2_s1022_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_4_1" "dpmog" "turk2_s1022_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_5_1" "dpmog" "turk2_s1022_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_6_1" "dpmog" "turk2_s1022_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_7_1" "dpmog" "turk2_s1022_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_8_1" "dpmog" "turk2_s1022_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_9_1" "dpmog" "turk2_s1022_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1022_cor_dpmog_1_10_1" "dpmog" "turk2_s1022_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_1_1" "dpmog" "turk2_s1028_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_2_1" "dpmog" "turk2_s1028_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_3_1" "dpmog" "turk2_s1028_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_4_1" "dpmog" "turk2_s1028_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_5_1" "dpmog" "turk2_s1028_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_6_1" "dpmog" "turk2_s1028_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_7_1" "dpmog" "turk2_s1028_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_8_1" "dpmog" "turk2_s1028_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_9_1" "dpmog" "turk2_s1028_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1028_cor_dpmog_1_10_1" "dpmog" "turk2_s1028_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_1_1" "dpmog" "turk2_s1034_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_2_1" "dpmog" "turk2_s1034_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_3_1" "dpmog" "turk2_s1034_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_4_1" "dpmog" "turk2_s1034_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_5_1" "dpmog" "turk2_s1034_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_6_1" "dpmog" "turk2_s1034_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_7_1" "dpmog" "turk2_s1034_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_8_1" "dpmog" "turk2_s1034_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_9_1" "dpmog" "turk2_s1034_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1034_cor_dpmog_1_10_1" "dpmog" "turk2_s1034_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_1_1" "emmog" "turk2_s1048_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_2_1" "emmog" "turk2_s1048_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_3_1" "emmog" "turk2_s1048_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_4_1" "emmog" "turk2_s1048_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_5_1" "emmog" "turk2_s1048_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_6_1" "emmog" "turk2_s1048_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_7_1" "emmog" "turk2_s1048_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_8_1" "emmog" "turk2_s1048_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_9_1" "emmog" "turk2_s1048_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1048_cor_emmog_1_10_1" "emmog" "turk2_s1048_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_1_1" "emmog" "turk2_s1102_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_2_1" "emmog" "turk2_s1102_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_3_1" "emmog" "turk2_s1102_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_4_1" "emmog" "turk2_s1102_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_5_1" "emmog" "turk2_s1102_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_6_1" "emmog" "turk2_s1102_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_7_1" "emmog" "turk2_s1102_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_8_1" "emmog" "turk2_s1102_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_9_1" "emmog" "turk2_s1102_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1102_cor_emmog_1_10_1" "emmog" "turk2_s1102_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_1_1" "emmog" "turk2_s1104_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_2_1" "emmog" "turk2_s1104_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_3_1" "emmog" "turk2_s1104_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_4_1" "emmog" "turk2_s1104_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_5_1" "emmog" "turk2_s1104_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_6_1" "emmog" "turk2_s1104_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_7_1" "emmog" "turk2_s1104_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_8_1" "emmog" "turk2_s1104_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_9_1" "emmog" "turk2_s1104_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1104_cor_emmog_1_10_1" "emmog" "turk2_s1104_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_1_1" "emmog" "turk2_s1110_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_2_1" "emmog" "turk2_s1110_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_3_1" "emmog" "turk2_s1110_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_4_1" "emmog" "turk2_s1110_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_5_1" "emmog" "turk2_s1110_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_6_1" "emmog" "turk2_s1110_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_7_1" "emmog" "turk2_s1110_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_8_1" "emmog" "turk2_s1110_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_9_1" "emmog" "turk2_s1110_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1110_cor_emmog_1_10_1" "emmog" "turk2_s1110_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_1_1" "emmog" "turk2_s1114_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_2_1" "emmog" "turk2_s1114_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_3_1" "emmog" "turk2_s1114_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_4_1" "emmog" "turk2_s1114_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_5_1" "emmog" "turk2_s1114_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_6_1" "emmog" "turk2_s1114_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_7_1" "emmog" "turk2_s1114_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_8_1" "emmog" "turk2_s1114_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_9_1" "emmog" "turk2_s1114_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1114_cor_emmog_1_10_1" "emmog" "turk2_s1114_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_1_1" "dpmog" "turk2_s1048_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_2_1" "dpmog" "turk2_s1048_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_3_1" "dpmog" "turk2_s1048_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_4_1" "dpmog" "turk2_s1048_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_5_1" "dpmog" "turk2_s1048_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_6_1" "dpmog" "turk2_s1048_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_7_1" "dpmog" "turk2_s1048_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_8_1" "dpmog" "turk2_s1048_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_9_1" "dpmog" "turk2_s1048_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1048_cor_dpmog_1_10_1" "dpmog" "turk2_s1048_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_1_1" "dpmog" "turk2_s1102_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_2_1" "dpmog" "turk2_s1102_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_3_1" "dpmog" "turk2_s1102_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_4_1" "dpmog" "turk2_s1102_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_5_1" "dpmog" "turk2_s1102_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_6_1" "dpmog" "turk2_s1102_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_7_1" "dpmog" "turk2_s1102_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_8_1" "dpmog" "turk2_s1102_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_9_1" "dpmog" "turk2_s1102_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1102_cor_dpmog_1_10_1" "dpmog" "turk2_s1102_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_1_1" "dpmog" "turk2_s1104_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_2_1" "dpmog" "turk2_s1104_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_3_1" "dpmog" "turk2_s1104_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_4_1" "dpmog" "turk2_s1104_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_5_1" "dpmog" "turk2_s1104_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_6_1" "dpmog" "turk2_s1104_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_7_1" "dpmog" "turk2_s1104_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_8_1" "dpmog" "turk2_s1104_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_9_1" "dpmog" "turk2_s1104_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1104_cor_dpmog_1_10_1" "dpmog" "turk2_s1104_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_1_1" "dpmog" "turk2_s1110_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_2_1" "dpmog" "turk2_s1110_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_3_1" "dpmog" "turk2_s1110_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_4_1" "dpmog" "turk2_s1110_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_5_1" "dpmog" "turk2_s1110_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_6_1" "dpmog" "turk2_s1110_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_7_1" "dpmog" "turk2_s1110_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_8_1" "dpmog" "turk2_s1110_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_9_1" "dpmog" "turk2_s1110_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1110_cor_dpmog_1_10_1" "dpmog" "turk2_s1110_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_1_1" "dpmog" "turk2_s1114_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_2_1" "dpmog" "turk2_s1114_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_3_1" "dpmog" "turk2_s1114_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_4_1" "dpmog" "turk2_s1114_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_5_1" "dpmog" "turk2_s1114_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_6_1" "dpmog" "turk2_s1114_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_7_1" "dpmog" "turk2_s1114_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_8_1" "dpmog" "turk2_s1114_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_9_1" "dpmog" "turk2_s1114_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1114_cor_dpmog_1_10_1" "dpmog" "turk2_s1114_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_1_1" "emmog" "turk2_s1115_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_2_1" "emmog" "turk2_s1115_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_3_1" "emmog" "turk2_s1115_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_4_1" "emmog" "turk2_s1115_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_5_1" "emmog" "turk2_s1115_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_6_1" "emmog" "turk2_s1115_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_7_1" "emmog" "turk2_s1115_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_8_1" "emmog" "turk2_s1115_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_9_1" "emmog" "turk2_s1115_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1115_cor_emmog_1_10_1" "emmog" "turk2_s1115_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_1_1" "emmog" "turk2_s1116_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_2_1" "emmog" "turk2_s1116_cor" "R1" "F2" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_3_1" "emmog" "turk2_s1116_cor" "R1" "F3" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_4_1" "emmog" "turk2_s1116_cor" "R1" "F4" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_5_1" "emmog" "turk2_s1116_cor" "R1" "F5" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_6_1" "emmog" "turk2_s1116_cor" "R1" "F6" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_7_1" "emmog" "turk2_s1116_cor" "R1" "F7" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_8_1" "emmog" "turk2_s1116_cor" "R1" "F8" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_9_1" "emmog" "turk2_s1116_cor" "R1" "F9" "FR1" "turk2" "turk"
"turk2_s1116_cor_emmog_1_10_1" "emmog" "turk2_s1116_cor" "R1" "F10" "FR1" "turk2" "turk"
"turk2_s1118_cor_emmog_1_1_1" "emmog" "turk2_s1118_cor" "R1" "F1" "FR1" "turk2" "turk"
"turk2_s1118_cor_emmog_1_2_1" "emmog" "turk2_s1118_cor" "R1" "F2" "FR1" "turk2" "turk"
